lat,lng,Prediction
33.6536,-116.2785,96.77
38.5044,-122.4681,20.46
40.8846,-121.6691,99.47
37.9084,-122.2805,83.79
39.1653,-122.9052,73.25
37.954,-122.0759,24.95
39.8635,-123.7253,81.12
34.0585,-117.7625,30.62
40.9722,-124.025,66.39
37.7616,-120.847,21.07
39.4908,-121.615,74.72
34.6155,-120.6335,46.65
38.7979,-121.7176,17.04
37.8235,-120.2582,46.98
38.5137,-122.9894,52.24
34.1178,-117.6603,98.55
37.7268,-120.9402,82.14
38.0365,-121.1846,26.85
34.2064,-118.2242,99.23
34.0175,-117.9268,59.52
32.6278,-116.1827,75.39
38.419,-120.8232,4.7
33.9255,-117.8654,1.44
40.6502,-122.245,0.55
33.797,-116.9915,64.71
40.5698,-122.365,40.3
36.294,-119.1459,81.86
36.3518,-119.421,95.97
35.556,-120.7182,64.61
38.91,-121.5443,65.39
38.0064,-122.2564,27.06
39.7663,-120.713,44.58
36.8006,-120.0199,90.47
34.2855,-118.877,54.89
38.5418,-122.8086,13.39
34.074,-118.0291,46.62
38.5818,-122.5825,47.11
39.8798,-121.1941,48.86
38.3791,-120.5146,37.42
40.5054,-122.5417,97.55
40.8101,-121.4809,14.68
33.5957,-114.7316,48.95
38.4001,-122.8277,77.2
38.1939,-120.379,75.66
41.646,-121.328,42.36
35.298,-119.625,68.99
38.959,-122.633,21.78
41.2974,-123.1303,37.56
34.3117,-117.4748,18.11
37.3969,-120.8499,16.55
34.1879,-118.3234,90.85
37.9071,-121.6076,34.43
39.3718,-121.106,69.81
33.6318,-117.5989,71.5
37.716,-121.9088,15.18
34.1848,-118.9445,43.22
33.9336,-118.0311,40.28
33.8895,-118.3972,16.18
34.6172,-118.4059,14.45
41.3015,-123.5412,78.74
39.931,-120.9548,11.15
33.76,-118.3471,81.18
34.6147,-118.299,45.28
38.3246,-122.9148,1.42
35.0125,-115.6536,87.99
38.6152,-122.4278,40.03
40.8415,-121.9215,4.4
38.688,-121.2208,59.05
37.3652,-119.7194,44.36
34.6527,-118.2163,8.31
34.0019,-118.2106,2.11
39.9282,-122.182,94.32
33.9885,-118.1877,61.22
33.9603,-117.9509,97.42
33.815,-116.3545,85.11
36.4319,-118.8806,16.29
38.5776,-122.4512,73.76
36.7361,-119.4961,18.73
37.4671,-122.1352,4.4
37.0511,-122.0533,59.29
38.4825,-122.8899,43.31
34.0489,-118.0962,75.16
35.2087,-119.4106,34.79
41.036,-124.1112,82.63
32.9633,-117.2627,65.23
33.8471,-118.1221,6.13
36.9505,-121.7363,11.06
33.6772,-117.7738,79.04
38.0052,-122.6384,50.36
33.9889,-118.354,76.47
40.2288,-123.8173,93.4
41.5471,-122.9185,52.78
39.2607,-121.0232,16.91
33.7164,-118.069,92.7
41.1592,-124.1303,4.13
34.7519,-117.3431,2.58
33.94,-117.2437,9.23
38.4532,-120.5354,59.72
34.0964,-118.6053,56.11
33.9253,-117.55,58.12
37.9633,-121.6511,5.63
39.2771,-122.1946,86.46
38.8075,-121.2488,41.32
36.4824,-121.7198,12.97
38.6737,-120.9872,8.68
36.6881,-121.6316,71
33.9057,-118.2683,55.76
36.0533,-119.1432,66.61
36.6952,-119.0165,13.64
35.7534,-120.6924,57.74
34.9192,-115.0628,10.06
37.5204,-122.0312,98.63
34.5329,-117.2102,93.8
34.1489,-117.2434,91.2
33.9663,-118.155,68.67
38.1218,-121.2932,92.04
41.7275,-122.5302,23.26
37.5553,-122.2659,39.2
34.8668,-120.4268,70.85
37.3996,-122.1991,60.73
37.676,-122.0481,0.38
38.1133,-122.2359,18.21
34.1189,-114.5102,96.57
39.4874,-121.2236,48.81
38.5684,-121.3544,2.32
33.7346,-116.2346,39.37
32.7184,-116.8709,80.6
39.0053,-120.8313,9.92
33.4098,-117.1394,66.93
40.3987,-123.9474,0.81
36.7294,-119.6945,54.14
34.8155,-117.1934,18.94
37.8854,-122.4637,47.47
34.3974,-117.3144,14.2
37.9574,-120.411,94.62
34.1386,-117.9124,20.03
34.0581,-117.6845,14.65
34.243,-116.8956,10.12
37.1886,-119.7723,88.43
34.0724,-116.5627,23.98
39.7733,-121.5196,49.36
38.341,-119.8338,3.09
34.7439,-117.3245,37.93
41.0069,-121.4401,5.73
37.8382,-122.2932,75.82
40.7884,-124.2014,72.82
38.7185,-121.4455,10.61
37.0062,-122.0425,44.59
37.55,-118.7087,61.8
36.8563,-121.3981,63.78
38.6504,-121.2497,67.37
39.9343,-122.0518,27.18
39.4429,-123.3963,19.84
40.0238,-123.9431,19.44
34.4505,-119.2731,62.05
34.04,-117.9301,11.62
39.8833,-122.5456,86.53
32.8376,-116.9269,47.72
35.2987,-119.3577,79.53
39.6514,-121.5345,62.01
36.6189,-121.8478,62.44
33.024,-117.1992,59.97
34.6152,-120.1943,30.14
37.6429,-120.7553,93.8
33.7461,-117.637,45.44
35.1512,-118.5024,37.75
38.2949,-120.2706,71.86
35.8038,-118.6787,45.57
40.6409,-124.2225,82.04
40.9489,-124.0857,0.62
33.8363,-116.4642,84.91
36.7277,-119.4587,57.82
39.4278,-120.9996,78.13
35.8737,-118.6427,30.41
36.7352,-119.9618,60.59
34.9347,-117.1992,56.29
39.7168,-123.3533,36.21
35.2369,-118.9123,14.16
35.4375,-120.8847,58.2
33.3693,-117.2258,31.29
33.5525,-117.8092,61.63
33.8572,-118.0046,29.27
33.7778,-117.7981,35.04
41.0589,-124.1434,81.55
37.9299,-121.0044,92.22
38.0124,-120.2697,37.13
38.0358,-121.9655,79.19
37.8878,-122.0761,10.4
38.9704,-122.8327,46.02
33.9379,-118.1312,12.91
32.6103,-117.0675,24.26
38.5813,-120.5733,31.56
39.1489,-122.1373,72.93
33.9235,-118.3033,82.14
33.6525,-117.8956,82.17
36.8427,-119.7899,23.65
33.9169,-118.4021,98.86
39.5301,-121.2689,85.34
35.6266,-120.691,71.57
37.3685,-122.0966,43.96
35.353,-119.036,42.71
38.1102,-122.5055,76.92
34.7211,-116.16,74.53
36.5262,-119.2884,43.25
34.1412,-117.2936,8.79
38.0957,-120.1285,89.1
37.7677,-119.1022,21.21
38.2478,-121.528,32.74
33.0492,-117.2613,0.16
40.7985,-120.3652,97.4
33.9961,-117.4056,98.5
38.8093,-121.1955,80.5
38.9263,-121.5148,33.92
33.933,-118.0625,57.39
40.0355,-121.0404,19.22
38.3338,-122.5065,59.73
40.2443,-124.1228,52.56
40.6722,-121.4228,44.83
39.7558,-121.6063,69.88
38.7601,-121.1714,53.26
39.8025,-123.2499,25.59
38.1798,-122.2583,76.83
33.7378,-116.3695,94.51
33.9678,-118.0188,21.61
39.9012,-120.7936,41.52
37.9878,-122.07,95.35
33.7778,-117.7739,65.05
40.5576,-122.1696,24.33
36.5481,-119.2599,22.88
37.8899,-122.525,91.59
41.3191,-120.1146,43.64
39.3248,-120.3785,72.17
40.7313,-124.1551,28.93
39.3592,-120.7905,53.74
35.4025,-117.7901,4.03
34.1609,-117.9505,76
39.7388,-123.8161,46.74
41.6763,-121.2542,85.2
36.6992,-119.5576,19.62
32.6281,-117.0145,35.37
40.8133,-124.0808,8.03
37.6273,-118.99,97.27
35.2159,-119.375,82.66
38.3485,-120.7728,99.57
35.2527,-118.8515,53.19
38.0075,-120.3089,65.64
34.5815,-117.4395,76.22
35.6387,-117.7667,28.09
39.8043,-120.1783,0.68
36.9608,-121.8808,37.03
41.6085,-122.8411,39.62
36.5183,-119.719,4.89
34.1484,-116.0655,55.41
32.8711,-116.4247,64.56
38.3168,-120.491,36.79
39.1557,-121.7492,54.34
39.4927,-123.7812,13.91
40.0761,-121.1617,54.07
37.0888,-122.0414,99.91
37.3168,-122.0465,21.5
41.5816,-121.9149,55.36
35.9567,-119.0328,69.95
36.1885,-119.8223,59.6
34.1025,-117.8564,27.26
39.1905,-120.1089,43.53
33.9203,-117.2787,78.04
33.8013,-116.5381,95.13
35.0635,-118.9729,45.54
39.1462,-123.2104,63.34
35.7627,-117.3728,4.18
33.8841,-117.9279,76.17
33.5961,-117.5862,58.75
39.0007,-120.9924,55.94
34.6618,-120.4714,16.26
38.0003,-120.4503,12.46
37.945,-122.314,13.19
34.5277,-117.3537,4.59
34.5828,-115.8756,92.14
33.4041,-116.0394,19.44
41.7937,-124.0661,64.97
33.74,-116.7189,11.83
41.7727,-124.1902,75.43
37.6028,-121.0425,22.76
37.4873,-119.9682,84.18
37.7854,-120.8007,95.69
33.839,-117.8572,75.71
32.664,-117.16,61.3
39.6715,-123.4945,87.38
35.7069,-117.3923,56.72
35.5938,-119.3673,65.22
34.3989,-118.9181,16.54
35.767,-119.2637,27.14
37.2803,-121.9542,83.83
33.924,-118.2017,14.13
32.7372,-114.6378,47.98
40.2812,-121.1345,77.71
38.3693,-121.5155,75.66
38.0702,-122.5386,46.9
33.4928,-117.1314,58.9
34.1121,-117.9637,5.82
37.2307,-121.9563,3.16
41.0109,-121.924,40.61
34.2108,-117.0834,59.75
38.4193,-121.5416,3.73
37.0435,-122.1369,84.6
37.0188,-119.3993,40.9
38.9111,-120.8356,40.59
36.7555,-120.3777,66.24
40.9841,-122.7083,75.94
40.0602,-123.7653,92.53
37.3157,-121.0211,49.92
36.4277,-116.8747,38.67
32.885,-116.9453,4.99
36.6783,-118.0443,93.29
38.3199,-122.4861,55.11
38.4636,-121.5022,96.85
37.565,-121.1794,68.85
37.9821,-122.5699,47.47
40.7612,-123.9948,8
37.6942,-122.1159,50.96
34.1393,-114.3604,81.07
35.9266,-118.4993,96.29
36.7249,-120.0625,90.89
33.6099,-117.7299,85.95
33.9765,-118.4486,97.42
39.7572,-120.6486,75.97
34.05,-118.9537,57.94
32.8042,-116.8645,85.06
33.8411,-116.2484,21.61
38.7564,-120.5904,44.05
37.3501,-122.098,20.92
38.1249,-120.857,44.44
33.0389,-115.6223,36.27
34.1637,-118.6612,61.24
35.2378,-115.4992,65.28
37.3182,-122.2651,59.03
39.9239,-121.3188,45.14
37.4686,-122.1671,66.74
33.862,-117.5644,85.1
37.8546,-122.0131,61.52
35.4698,-119.2617,58.56
37.9025,-122.0398,43.95
36.7834,-119.7941,24.29
37.4672,-119.8887,55.43
34.1598,-118.139,51.29
38.8435,-122.7244,64.06
33.1349,-117.1744,20.07
36.6313,-119.0132,29.53
37.4338,-121.8921,51.73
37.3342,-119.6483,6.38
37.5573,-122.3587,96.32
37.8272,-120.9143,8.84
36.648,-120.2526,91.57
35.7127,-118.4731,9.76
36.5051,-120.3936,82.74
32.6654,-117.0983,11.65
37.4006,-121.2699,84.29
37.8226,-122.2301,97.43
34.0368,-118.7845,7.87
33.4522,-116.8555,80.55
34.1159,-118.0096,75.22
34.8376,-120.5311,0.69
35.2651,-118.9159,66.11
33.1198,-117.2089,32.15
33.7972,-118.0594,91.69
41.1251,-121.1336,45.7
35.4667,-115.2722,83.91
33.8303,-118.0728,23.03
34.1342,-118.0373,37.33
38.0368,-122.2526,12.88
37.3227,-122.058,0.54
34.1886,-114.5741,28.47
41.5518,-121.1236,42.59
36.9462,-120.0218,93.54
38.4043,-120.5374,46.33
38.675,-121.9702,32.57
41.7292,-122.6311,66.5
37.5262,-120.7994,14.91
37.2545,-120.9948,5.28
38.8926,-121.9741,19.68
39.7487,-120.5725,57.01
38.4832,-121.4042,10.43
32.664,-116.2896,15.87
33.9753,-117.4758,5.79
34.2422,-117.4981,3.96
38.2594,-122.0319,72.93
32.8,-116.8671,83.99
39.9738,-122.1733,64.15
36.8534,-120.4537,95.54
34.0117,-117.4848,26.28
34.4717,-120.2149,68.46
32.6849,-115.4944,53.83
40.004,-121.2539,5.76
36.0644,-119.0337,11.48
33.6095,-117.6551,3.26
37.3147,-122.295,80.73
40.7274,-123.0615,86.32
37.6664,-121.8805,46.6
35.7966,-119.1069,78.16
33.1895,-117.2387,17.99
41.3206,-122.315,28.48
33.735,-117.0783,56.41
37.1655,-118.2951,63.42
34.365,-115.2861,62.82
40.0614,-122.1482,33.64
33.8374,-118.2559,83.34
33.9478,-117.7787,29.86
33.241,-116.3571,32.78
37.9615,-120.2428,53.71
41.0415,-121.4068,30.23
41.0803,-123.6972,51.91
37.726,-121.444,83.98
38.2423,-120.3547,34.14
33.8944,-118.3073,38.74
38.0383,-122.5378,14.79
38.9306,-121.082,4.57
37.3913,-122.1467,84.58
33.7933,-118.3175,85.79
38.007,-122.0873,95.81
39.2346,-120.0767,70.02
33.8275,-118.3797,7.78
39.4443,-120.7361,28.15
41.254,-122.136,23.64
37.6432,-120.9045,50.84
40.2452,-121.0768,34.94
39.9322,-121.0831,8.18
33.9508,-117.7254,24.56
37.6112,-122.4781,28.94
37.9527,-121.9894,50.67
40.2772,-121.0961,18.51
38.0333,-120.4097,74.15
37.9723,-122.296,81.15
41.9949,-122.6234,13.87
33.8029,-118.1682,13.78
32.8033,-116.9056,16.57
34.9333,-120.4432,0.59
38.1447,-120.4348,38.7
33.9199,-118.2362,53.73
40.6262,-123.4689,85.52
36.4042,-120.1344,12.39
36.6524,-119.7908,83.54
37.6138,-120.9927,88.96
33.9811,-117.1184,50.77
37.5618,-120.9089,71.73
33.6173,-117.2582,32.01
33.5449,-117.7613,84.8
34.4998,-117.2686,2.87
33.0093,-116.7874,25.52
40.8111,-123.5082,66.09
40.0587,-120.9803,67.96
38.4203,-121.9521,72.35
34.4285,-119.7202,46.52
33.5767,-116.0645,38.42
39.1721,-120.1388,20.04
38.413,-121.2127,81.55
39.4414,-123.8033,18.65
34.1022,-118.0579,75.8
39.1237,-121.0523,96.48
33.8038,-117.8219,10.34
34.0836,-114.8497,20.24
35.0474,-117.8093,78.5
37.0035,-122.0265,57.67
